markets,corrs,vols,mids,dates
TAN_PBW,0.892389868,0.021994806,2,2021-10-29T00:00:00Z
TAN_PBW,0.868895229,0.025215735,2,2021-11-30T00:00:00Z
TAN_PBW,0.964596927,0.028633345,2,2021-12-31T00:00:00Z
TAN_PBW,0.973313867,0.034276668,2,2022-01-31T00:00:00Z
TAN_PBW,0.973635072,0.0390117,2,2022-02-25T00:00:00Z
ICLN_PBW,0.957864754,0.020699775,3,2012-01-31T00:00:00Z
ICLN_PBW,0.89856581,0.020414531,3,2012-02-29T00:00:00Z
ICLN_PBW,0.891389728,0.015652949,3,2012-03-30T00:00:00Z
ICLN_PBW,0.900399307,0.01663301,3,2012-04-30T00:00:00Z
ICLN_PBW,0.908849749,0.014677283,3,2012-05-31T00:00:00Z
ICLN_PBW,0.903070968,0.018592011,3,2012-06-29T00:00:00Z
ICLN_PBW,0.844420335,0.015481013,3,2012-07-31T00:00:00Z
ICLN_PBW,0.83937618,0.012767109,3,2012-08-31T00:00:00Z
ICLN_PBW,0.833148362,0.014120639,3,2012-09-28T00:00:00Z
ICLN_PBW,0.797931576,0.010417706,3,2012-10-31T00:00:00Z
ICLN_PBW,0.841809819,0.016336686,3,2012-11-30T00:00:00Z
ICLN_PBW,0.656312645,0.009669551,3,2012-12-31T00:00:00Z
ICLN_PBW,0.835467282,0.014768499,3,2013-01-31T00:00:00Z
ICLN_PBW,0.906701345,0.018146655,3,2013-02-28T00:00:00Z
ICLN_PBW,0.716084641,0.010037286,3,2013-03-28T00:00:00Z
ICLN_PBW,0.844353963,0.020752528,3,2013-04-30T00:00:00Z
ICLN_PBW,0.938318375,0.020013128,3,2013-05-31T00:00:00Z
ICLN_PBW,0.888496009,0.019563957,3,2013-06-28T00:00:00Z
ICLN_PBW,0.856233781,0.012622941,3,2013-07-31T00:00:00Z
ICLN_PBW,0.901534906,0.018726275,3,2013-08-30T00:00:00Z
ICLN_PBW,0.851046165,0.011290115,3,2013-09-30T00:00:00Z
ICLN_PBW,0.927099137,0.016696481,3,2013-10-31T00:00:00Z
ICLN_PBW,0.933187898,0.020555243,3,2013-11-29T00:00:00Z
ICLN_PBW,0.815490223,0.011242262,3,2013-12-31T00:00:00Z
ICLN_PBW,0.901168196,0.01933446,3,2014-01-31T00:00:00Z
ICLN_PBW,0.903044226,0.019226153,3,2014-02-28T00:00:00Z
ICLN_PBW,0.783722285,0.020010797,3,2014-03-31T00:00:00Z
ICLN_PBW,0.946291405,0.023021329,3,2014-04-30T00:00:00Z
ICLN_PBW,0.809694922,0.018625539,3,2014-05-30T00:00:00Z
ICLN_PBW,0.816263012,0.012526166,3,2014-06-30T00:00:00Z
ICLN_PBW,0.870221749,0.013337815,3,2014-07-31T00:00:00Z
ICLN_PBW,0.775360409,0.009887996,3,2014-08-29T00:00:00Z
ICLN_PBW,0.895709806,0.015071583,3,2014-09-30T00:00:00Z
ICLN_PBW,0.939082122,0.025634064,3,2014-10-31T00:00:00Z
ICLN_PBW,0.821984938,0.015235576,3,2014-11-28T00:00:00Z
ICLN_PBW,0.85967292,0.019421768,3,2014-12-31T00:00:00Z
ICLN_PBW,0.924606034,0.016038184,3,2015-01-30T00:00:00Z
ICLN_PBW,0.815583237,0.012480639,3,2015-02-27T00:00:00Z
ICLN_PBW,0.808338553,0.01465901,3,2015-03-31T00:00:00Z
ICLN_PBW,0.705022167,0.012445762,3,2015-04-30T00:00:00Z
ICLN_PBW,0.430923749,0.010413304,3,2015-05-29T00:00:00Z
ICLN_PBW,0.812523192,0.0123567,3,2015-06-30T00:00:00Z
ICLN_PBW,0.924460711,0.016034602,3,2015-07-31T00:00:00Z
ICLN_PBW,0.891283786,0.019863559,3,2015-08-31T00:00:00Z
ICLN_PBW,0.934899539,0.017760396,3,2015-09-30T00:00:00Z
ICLN_PBW,0.876719163,0.018636979,3,2015-10-30T00:00:00Z
ICLN_PBW,0.917327545,0.018001028,3,2015-11-30T00:00:00Z
ICLN_PBW,0.94947453,0.018639677,3,2015-12-31T00:00:00Z
ICLN_PBW,0.910429805,0.02603602,3,2016-01-29T00:00:00Z
ICLN_PBW,0.906967455,0.021317408,3,2016-02-29T00:00:00Z
ICLN_PBW,0.833315171,0.01275931,3,2016-03-31T00:00:00Z
ICLN_PBW,0.850297073,0.013501409,3,2016-04-29T00:00:00Z
ICLN_PBW,0.839753175,0.012142209,3,2016-05-31T00:00:00Z
ICLN_PBW,0.929125169,0.021049134,3,2016-06-30T00:00:00Z
ICLN_PBW,0.887502703,0.010682267,3,2016-07-29T00:00:00Z
ICLN_PBW,0.829193589,0.010702924,3,2016-08-31T00:00:00Z
ICLN_PBW,0.872887238,0.013253917,3,2016-09-30T00:00:00Z
ICLN_PBW,0.87161511,0.009882691,3,2016-10-31T00:00:00Z
ICLN_PBW,0.748579263,0.011622733,3,2016-11-30T00:00:00Z
ICLN_PBW,0.797415895,0.013325529,3,2016-12-30T00:00:00Z
